N,P,K,temperature,humidity,ph,rainfall,label,label_encoded
0.6428571428571429,0.2642857142857143,0.19,0.34588613517306543,0.7902668315256756,0.4662636371578487,0.6564577820612741,rice,0
0.6071428571428571,0.37857142857142856,0.18,0.3714448905216466,0.770632850772957,0.5494802634661211,0.7416745925400797,rice,0
0.42857142857142855,0.35714285714285715,0.195,0.40685389751273765,0.793976635987273,0.6742187657204012,0.8757103904101947,rice,0
0.5285714285714286,0.21428571428571427,0.175,0.5069013976025664,0.7687514436037338,0.5405078809463392,0.7999054664892735,rice,0
0.5571428571428572,0.2642857142857143,0.185,0.32437759003690736,0.7856255161385323,0.6412913769420499,0.8712307343962911,rice,0
0.4928571428571429,0.22857142857142856,0.185,0.4083916263333298,0.8062177449543492,0.5549787519923274,0.8293324448982635,rice,0
0.4928571428571429,0.35714285714285715,0.165,0.3983711798293118,0.7976938172769268,0.3415144311123298,0.9021542316518835,rice,0
0.6714285714285714,0.34285714285714286,0.175,0.3286120109658345,0.8006646625084192,0.3442859023549096,0.7967086172840259,rice,0
0.6357142857142857,0.35,0.165,0.4502234639412419,0.808143680462121,0.4946231293342243,0.7552931093745896,rice,0
0.4857142857142857,0.37857142857142856,0.165,0.4131527742551885,0.8022877900557605,0.44033471146007563,0.7221079889797883,rice,0
0.65,0.34285714285714286,0.175,0.5079383837837774,0.7834401915158343,0.2925842082150221,0.8780478245326272,rice,0
0.6428571428571429,0.29285714285714287,0.185,0.4348174011233198,0.7838260526889486,0.621752913665003,0.8258412639578887,rice,0
0.5571428571428572,0.37857142857142856,0.195,0.515788092141102,0.7772494951643334,0.249431580149669,0.9492591372356028,rice,0
0.6642857142857143,0.36428571428571427,0.155,0.43585023434170245,0.7908982497215868,0.5411225849858909,0.5930186936723807,rice,0
0.6714285714285714,0.32142857142857145,0.16,0.4832213803130186,0.7746481443629094,0.5354722089637528,0.6803538197107313,rice,0
0.42857142857142855,0.30714285714285716,0.17,0.4435150642602467,0.7704066801900777,0.5501338383992137,0.7575927373411898,rice,0
0.6071428571428571,0.2357142857142857,0.18,0.3661839184730865,0.7994314536987555,0.42677354821196073,0.9213042496937239,rice,0
0.65,0.21428571428571427,0.17,0.42950711231835786,0.7717823034149283,0.5390241097382393,0.6684055565882447,rice,0
0.55,0.2357142857142857,0.155,0.3741648676868187,0.7691473446915107,0.3808790149995738,0.7341282329996196,rice,0
0.6285714285714286,0.21428571428571427,0.175,0.42335260935587826,0.8087547924039359,0.36532754794907196,0.9739123919526976,rice,0
0.6357142857142857,0.2857142857142857,0.155,0.3586637590362037,0.7724423810842008,0.45685356989771214,0.5938095512598156,rice,0
0.5428571428571428,0.25,0.19,0.4686331625050921,0.8032666059104807,0.2434433853597667,0.7586632702353184,rice,0
0.4785714285714286,0.38571428571428573,0.18,0.3765297279359804,0.7782643089414143,0.39000751045386345,0.6938948179925413,rice,0
0.5928571428571429,0.2571428571428571,0.19,0.3508443185554795,0.7981485476264769,0.4275476591028611,0.7648542974294824,rice,0
0.7,0.3,0.16,0.42060875516521573,0.7824499450014114,0.6019481847749768,0.7323430612629789,rice,0
0.4714285714285714,0.34285714285714286,0.18,0.46628537666345804,0.7730154716291151,0.6646870760899622,0.8507044990646769,rice,0
0.6928571428571428,0.38571428571428573,0.19,0.50311874488265,0.8140792476573745,0.4325974283217257,0.9022754942329804,rice,0
0.6928571428571428,0.32142857142857145,0.18,0.4506064257656967,0.7732615441444746,0.5545909795550641,0.8624146825256421,rice,0
0.42857142857142855,0.3142857142857143,0.195,0.34290241115218345,0.8193719188689319,0.4261189691326503,0.7899073310570631,rice,0
0.6,0.32857142857142857,0.15,0.38668492923151265,0.7744185024001529,0.39477744727766745,0.6386512967840192,rice,0
0.5214285714285715,0.37142857142857144,0.18,0.36215008998165277,0.8245748550623077,0.3607830028397062,0.9053044512410986,rice,0
0.6571428571428571,0.21428571428571427,0.175,0.38317686531766265,0.7707684974088922,0.4436216054977843,0.6462286846545734,rice,0
0.6071428571428571,0.22857142857142856,0.17,0.45056655783904526,0.798830511040522,0.44467063302380316,0.7345618837942501,rice,0
0.7,0.34285714285714286,0.165,0.328305910087298,0.7860230636761913,0.23478623648226976,0.8989814755944943,rice,0
0.6285714285714286,0.35,0.195,0.48521786848380527,0.8121967659912075,0.4112782447685099,0.764942516223982,rice,0
0.6785714285714286,0.35714285714285715,0.185,0.5156315122716677,0.7919623117613116,0.3803700651141592,0.6220113042009683,rice,0
0.7071428571428572,0.37142857142857144,0.15,0.5145469284247965,0.7806381896380882,0.38188001752597023,0.9056571927738529,rice,0
0.6785714285714286,0.24285714285714285,0.155,0.43149808683055635,0.8036792478496199,0.3198348508194596,0.9521796012501386,rice,0
0.42857142857142855,0.2714285714285714,0.195,0.34989485765125283,0.8013427827673443,0.6082872377707842,0.9994313955312446,rice,0
0.45,0.2785714285714286,0.18,0.4403843231170614,0.8104014084008062,0.32325168498565693,0.850813962064063,rice,0
0.44285714285714284,0.2642857142857143,0.155,0.4004515401733886,0.7910186310584174,0.45491507783188495,0.8209376661889276,rice,0
0.45714285714285713,0.2857142857142857,0.19,0.48218691293977467,0.8080644357584176,0.31571057550386944,0.6814791230844159,rice,0
0.5928571428571429,0.39285714285714285,0.155,0.4812471183700193,0.7685966439518721,0.5286243821230325,0.6489109996701359,rice,0
0.5857142857142857,0.25,0.175,0.4305617918486304,0.8230565101565066,0.43026141783079674,1,rice,0
0.6071428571428571,0.3357142857142857,0.2,0.5018069271394441,0.7945158911355392,0.5784350602364937,0.8813556305461989,rice,0
0.65,0.21428571428571427,0.165,0.46116761396986,0.7730384454026569,0.4089263621735954,0.5872776309741595,rice,0
0.5428571428571428,0.3142857142857143,0.185,0.46293223436075526,0.819160656158316,0.26462383920044064,0.6349756189434616,rice,0
0.5285714285714286,0.24285714285714285,0.165,0.4136452058038929,0.8204716650326482,0.6651747889904523,0.7646307071398394,rice,0
0.5642857142857143,0.2714285714285714,0.17,0.3684555283078111,0.7751818939246212,0.5533187323620324,0.6847628118796149,rice,0
0.6285714285714286,0.35714285714285715,0.2,0.4536544121015324,0.7717292331114786,0.6571373443559054,0.8389077612673189,rice,0
0.42857142857142855,0.22142857142857142,0.19,0.4190995702524079,0.8026362864754764,0.2770385136445359,0.717421923634595,rice,0
0.5428571428571428,0.39285714285714285,0.17,0.3219454218328097,0.7709607889666517,0.5072031236932647,0.67673981052804,rice,0
0.6642857142857143,0.36428571428571427,0.185,0.43132407301083053,0.7928680409428528,0.6030802794687624,0.6282891544590585,rice,0
0.4642857142857143,0.39285714285714285,0.19,0.37722776945192454,0.7890587397674115,0.33488395612925387,0.7442187507067963,rice,0
0.6785714285714286,0.3357142857142857,0.155,0.49938550820229305,0.8116554445565048,0.3170296479151899,0.9567027311278596,rice,0
0.5357142857142857,0.2357142857142857,0.17,0.4195457530664448,0.8228223034190344,0.421495297083599,0.9474534531095652,rice,0
0.5285714285714286,0.35,0.165,0.4829253259717963,0.8073853675717794,0.5622597792059969,0.7083470645154438,rice,0
0.65,0.22142857142857142,0.2,0.44814523531559625,0.7955346979677048,0.3803680467133908,0.8901237684412788,rice,0
0.5071428571428571,0.29285714285714287,0.175,0.3286823149191739,0.7916759829980637,0.5803665189244372,0.6170038292290049,rice,0
